#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NC_007332.1:111631-112422|+ -            264 1679at2085           -            265   1.3e-78  259.3  12.8   1   1   1.4e-80   1.4e-78  259.2  12.8    12   256     1   255     1   263 0.90 NC_007332.1_91 # 111631 # 112422 # 1 # ID=1_91;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.263
NC_007332.1:91748-93049|+   -            434 1679at2085           -            265     2e-23   78.3  12.5   1   3   1.4e-11   1.4e-09   33.0   0.2   123   177     6    64     1    77 0.80 NC_007332.1_74 # 91748 # 93049 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NC_007332.1:91748-93049|+   -            434 1679at2085           -            265     2e-23   78.3  12.5   2   3   7.5e-13   7.5e-11   37.1   0.9    22   173    78   228    70   239 0.76 NC_007332.1_74 # 91748 # 93049 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NC_007332.1:91748-93049|+   -            434 1679at2085           -            265     2e-23   78.3  12.5   3   3   5.4e-06   0.00053   14.7   0.9    24   139   251   380   245   386 0.62 NC_007332.1_74 # 91748 # 93049 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NC_007332.1:586887-587483|- -            199 1679at2085           -            265     3e-13   45.0   5.6   1   2   7.7e-13   7.6e-11   37.1   0.1   123   172    41    91    31   105 0.91 NC_007332.1_462 # 586887 # 587483 # -1 # ID=1_462;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NC_007332.1:586887-587483|- -            199 1679at2085           -            265     3e-13   45.0   5.6   2   2   0.00017     0.017    9.7   1.9    24    97   117   195   102   198 0.78 NC_007332.1_462 # 586887 # 587483 # -1 # ID=1_462;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.293
NC_007332.1:238596-239924|- -            443 1679at2085           -            265   1.1e-12   43.1  15.8   1   3      0.93        92   -2.5   0.1   231   258   137   164   114   170 0.58 NC_007332.1_214 # 238596 # 239924 # -1 # ID=1_214;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.318
NC_007332.1:238596-239924|- -            443 1679at2085           -            265   1.1e-12   43.1  15.8   2   3   8.9e-14   8.8e-12   40.2   0.3    97   174   194   275   184   289 0.78 NC_007332.1_214 # 238596 # 239924 # -1 # ID=1_214;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.318
NC_007332.1:238596-239924|- -            443 1679at2085           -            265   1.1e-12   43.1  15.8   3   3   0.00018     0.018    9.7   6.0    21   104   291   366   281   386 0.71 NC_007332.1_214 # 238596 # 239924 # -1 # ID=1_214;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.318
NC_007332.1:195185-196066|- -            294 1679at2085           -            265   1.5e-10   36.1   9.5   1   2   1.8e-11   1.8e-09   32.6   0.3   119   175     6    66     2    84 0.78 NC_007332.1_161 # 195185 # 196066 # -1 # ID=1_161;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NC_007332.1:195185-196066|- -            294 1679at2085           -            265   1.5e-10   36.1   9.5   2   2    0.0013      0.13    6.8   4.0    47   103   108   169    77   190 0.77 NC_007332.1_161 # 195185 # 196066 # -1 # ID=1_161;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.290
NC_007332.1:354753-355856|- -            368 1679at2085           -            265   1.3e-05   20.0   0.1   1   1     3e-07     3e-05   18.8   0.1   119   155     2    37     1    47 0.85 NC_007332.1_299 # 354753 # 355856 # -1 # ID=1_299;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.298
NC_007332.1:54323-55582|+   -            420 1679at2085           -            265   1.8e-05   19.5  11.5   1   2   4.4e-07   4.3e-05   18.2   0.1   124   175   161   215   145   236 0.75 NC_007332.1_43 # 54323 # 55582 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.307
NC_007332.1:54323-55582|+   -            420 1679at2085           -            265   1.8e-05   19.5  11.5   2   2      0.03         3    2.4   8.1    39   121   257   343   253   346 0.84 NC_007332.1_43 # 54323 # 55582 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.307
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7448/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7448/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7448/Use/busco_complete/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7448/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7448/Use/busco_complete/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/bryan/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/strains/7448/Use
# Date:            Sun Dec  1 19:06:28 2024
# [ok]
