#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_QQRK01000004.1:26725-28464|+ -            580 539at2085            -            541  1.9e-246  814.3  14.1   1   1  1.2e-248  2.2e-246  814.1  14.1     1   541     8   574     8   574 0.97 NZ_QQRK01000004.1_22 # 26725 # 28464 # 1 # ID=43_22;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.297
NZ_QQRK01000010.1:10977-12344|+ -            456 539at2085            -            541   4.3e-10   34.2   1.0   1   3      0.16        29   -1.5   0.0   197   228    56    87    39   101 0.72 NZ_QQRK01000010.1_14 # 10977 # 12344 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
NZ_QQRK01000010.1:10977-12344|+ -            456 539at2085            -            541   4.3e-10   34.2   1.0   2   3   1.3e-08   2.4e-06   21.9   0.1   235   346   157   268   150   272 0.88 NZ_QQRK01000010.1_14 # 10977 # 12344 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
NZ_QQRK01000010.1:10977-12344|+ -            456 539at2085            -            541   4.3e-10   34.2   1.0   3   3   5.9e-05     0.011    9.8   0.1   451   540   354   449   348   450 0.83 NZ_QQRK01000010.1_14 # 10977 # 12344 # 1 # ID=1_14;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
NZ_QQRK01000001.1:38129-39568|- -            480 539at2085            -            541   1.6e-07   25.7   6.4   1   2     0.014       2.5    2.0   0.0   186   317    43   184    34   196 0.65 NZ_QQRK01000001.1_28 # 38129 # 39568 # -1 # ID=11_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
NZ_QQRK01000001.1:38129-39568|- -            480 539at2085            -            541   1.6e-07   25.7   6.4   2   2   1.6e-09   2.8e-07   24.9   2.3   408   525   237   366   226   382 0.78 NZ_QQRK01000001.1_28 # 38129 # 39568 # -1 # ID=11_28;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.310
NZ_QQRK01000005.1:32554-33795|- -            414 539at2085            -            541   0.00012   16.2   0.4   1   3      0.17        30   -1.6   0.2    99   142     9    52     3    89 0.64 NZ_QQRK01000005.1_29 # 32554 # 33795 # -1 # ID=54_29;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
NZ_QQRK01000005.1:32554-33795|- -            414 539at2085            -            541   0.00012   16.2   0.4   2   3   2.1e-05    0.0038   11.3   0.0   153   362   133   347   128   353 0.80 NZ_QQRK01000005.1_29 # 32554 # 33795 # -1 # ID=54_29;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
NZ_QQRK01000005.1:32554-33795|- -            414 539at2085            -            541   0.00012   16.2   0.4   3   3     0.014       2.5    2.0   0.0   411   458   361   406   354   409 0.76 NZ_QQRK01000005.1_29 # 32554 # 33795 # -1 # ID=54_29;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.316
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP691/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm
# Target file:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP691/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP691/Use/busco_draft/run_mycoplasmatales_odb10/hmmer_output/539at2085.out --cpu 1 /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP691/Use/busco_downloads/lineages/mycoplasmatales_odb10/hmms/539at2085.hmm /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP691/Use/busco_draft/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /home/lgef/Documentos/GitHub/Project_doctoral/IMPLEMENTACAO/Genomes/M_hyopneumoniae/MHP_ncbi_dataset/ncbi_dataset/data/strains/MHP691/Use
# Date:            Thu Nov 28 19:33:27 2024
# [ok]
